Index,Date, Dcount ,Close, Delta 
DJI,39891,53,7.40E+03,-1.15E-02
CAC,39889,53,2.77E+03,-8.70E-03
AUX,39889,53,9.16E+02,-6.80E-03
IXIC,39891,53,1.48E+03,-5.20E-03
FTSE,39889,53,3.86E+03,-1.80E-03
DAX,39890,53,4.00E+03,2.10E-03
N225,39895,53,8.22E+03,3.39E-02
GSPC,39892,54,7.69E+02,-1.98E-02
IXIC,39892,54,1.46E+03,-1.77E-02
DJI,39892,54,7.28E+03,-1.65E-02
FTSE,39890,54,3.81E+03,-1.35E-02
CAC,39890,54,2.76E+03,-2.50E-03
DAX,39891,54,4.04E+03,1.18E-02
AUX,39890,54,9.33E+02,1.79E-02
SSE,39898,54,2.36E+03,3.06E-02
N225,39896,54,8.49E+03,3.32E-02
HSI,39895,54,1.34E+04,4.78E-02
N225,39897,55,8.48E+03,-1.00E-03
FTSE,39891,55,3.82E+03,3.10E-03
SSE,39899,55,2.37E+03,5.40E-03
CAC,39891,55,2.78E+03,6.00E-03
DAX,39892,55,4.07E+03,6.30E-03
AUX,39891,55,9.57E+02,2.57E-02
HSI,39896,55,1.39E+04,3.44E-02
IXIC,39895,55,1.56E+03,6.76E-02
DJI,39895,55,7.78E+03,6.84E-02
GSPC,39895,55,8.23E+02,7.08E-02
IXIC,39896,56,1.52E+03,-2.52E-02
HSI,39897,56,1.36E+04,-2.07E-02
GSPC,39896,56,8.06E+02,-2.04E-02
DJI,39896,56,7.66E+03,-1.49E-02
SSE,39902,56,2.36E+03,-6.90E-03
AUX,39892,56,9.53E+02,-3.90E-03
CAC,39892,56,2.79E+03,5.10E-03
FTSE,39892,56,3.84E+03,6.80E-03
N225,39898,56,8.64E+03,1.84E-02
DAX,39895,56,4.18E+03,2.65E-02
AUX,39895,57,9.51E+02,-2.40E-03
N225,39899,57,8.63E+03,-1.10E-03
DAX,39896,57,4.19E+03,2.60E-03
SSE,39903,57,2.37E+03,6.40E-03
IXIC,39897,57,1.53E+03,8.20E-03
GSPC,39897,57,8.14E+02,9.60E-03
DJI,39897,57,7.75E+03,1.17E-02
CAC,39895,57,2.87E+03,2.81E-02
FTSE,39895,57,3.95E+03,2.86E-02
HSI,39898,57,1.41E+04,3.57E-02
N225,39902,58,8.24E+03,-4.53E-02
AUX,39896,58,9.30E+02,-2.23E-02
FTSE,39896,58,3.91E+03,-1.04E-02
HSI,39899,58,1.41E+04,7.00E-04
CAC,39896,58,2.87E+03,1.70E-03
DAX,39897,58,4.22E+03,8.60E-03
SSE,39904,58,2.41E+03,1.47E-02
DJI,39898,58,7.92E+03,2.25E-02
GSPC,39898,58,8.33E+02,2.33E-02
IXIC,39898,58,1.59E+03,3.80E-02
HSI,39902,59,1.35E+04,-4.70E-02
IXIC,39899,59,1.55E+03,-2.63E-02
GSPC,39899,59,8.16E+02,-2.03E-02
DJI,39899,59,7.78E+03,-1.87E-02
N225,39903,59,8.11E+03,-1.54E-02
